Earthx Earthy Earthz Sunx Suny Sunz 
1 0 0 0 0 0 
0.999961 0.00628319 0 0 0 0 
0.999882 0.0125661 0 0 0 0 
0.999763 0.0188486 0 0 0 0 
0.999605 0.0251303 0 0 0 0 
0.999408 0.031411 0 0 0 0 
0.999171 0.0376904 0 0 0 0 
0.998895 0.0439684 0 0 0 0 
0.998579 0.0502446 0 0 0 0 
0.998224 0.0565189 0 0 0 0 
0.997829 0.0627909 0 0 0 0 
0.997395 0.0690605 0 0 0 0 
0.996922 0.0753273 0 0 0 0 
0.996409 0.0815911 0 0 0 0 
0.995857 0.0878517 0 0 0 0 
0.995265 0.0941089 0 0 0 0 
0.994634 0.100362 0 0 0 0 
0.993964 0.106612 0 0 0 0 
0.993254 0.112857 0 0 0 0 
0.992506 0.119098 0 0 0 0 
0.991718 0.125334 0 0 0 0 
0.990891 0.131565 0 0 0 0 
0.990024 0.137791 0 0 0 0 
0.989119 0.144011 0 0 0 0 
0.988174 0.150226 0 0 0 0 
0.987191 0.156435 0 0 0 0 
0.986168 0.162638 0 0 0 0 
0.985107 0.168834 0 0 0 0 
0.984006 0.175023 0 0 0 0 
0.982866 0.181206 0 0 0 0 
0.981688 0.187382 0 0 0 0 
0.980471 0.19355 0 0 0 0 
0.979215 0.19971 0 0 0 0 
0.97792 0.205863 0 0 0 0 
0.976587 0.212007 0 0 0 0 
0.975215 0.218143 0 0 0 0 
0.973804 0.22427 0 0 0 0 
0.972355 0.230389 0 0 0 0 
0.970868 0.236498 0 0 0 0 
0.969342 0.242598 0 0 0 0 
0.967777 0.248688 0 0 0 0 
0.966175 0.254769 0 0 0 0 
0.964534 0.260839 0 0 0 0 
0.962855 0.2669 0 0 0 0 
0.961137 0.272949 0 0 0 0 
0.959382 0.278988 0 0 0 0 
0.957589 0.285016 0 0 0 0 
0.955758 0.291032 0 0 0 0 
0.953889 0.297037 0 0 0 0 
0.951982 0.30303 0 0 0 0 
0.950038 0.309011 0 0 0 0 
0.948056 0.31498 0 0 0 0 
0.946037 0.320937 0 0 0 0 
0.94398 0.326881 0 0 0 0 
