Earthx Earthy Earthz Sunx Suny Sunz 
1 0 0 0 0 0 
0.999013 0.0314159 0 0 0 0 
0.997039 0.0628008 0 0 0 0 
0.994077 0.0941235 0 0 0 0 
0.99013 0.125353 0 0 0 0 
0.985201 0.156458 0 0 0 0 
0.979291 0.187407 0 0 0 0 
0.972407 0.21817 0 0 0 0 
0.964553 0.248715 0 0 0 0 
0.955735 0.279012 0 0 0 0 
0.945962 0.30903 0 0 0 0 
0.935242 0.338738 0 0 0 0 
0.923584 0.368107 0 0 0 0 
0.910998 0.397106 0 0 0 0 
0.897496 0.425706 0 0 0 0 
0.88309 0.453877 0 0 0 0 
0.867795 0.48159 0 0 0 0 
0.851622 0.508817 0 0 0 0 
0.834589 0.53553 0 0 0 0 
0.816712 0.561701 0 0 0 0 
0.798006 0.587303 0 0 0 0 
0.778491 0.612308 0 0 0 0 
0.758185 0.636692 0 0 0 0 
0.737108 0.660428 0 0 0 0 
0.715281 0.683492 0 0 0 0 
0.692725 0.705859 0 0 0 0 
0.669461 0.727506 0 0 0 0 
0.645515 0.74841 0 0 0 0 
0.620908 0.768549 0 0 0 0 
0.595665 0.787901 0 0 0 0 
0.569813 0.806447 0 0 0 0 
0.543377 0.824165 0 0 0 0 
0.516383 0.841039 0 0 0 0 
0.488859 0.857048 0 0 0 0 
0.460832 0.872177 0 0 0 0 
0.432332 0.886409 0 0 0 0 
0.403387 0.89973 0 0 0 0 
0.374027 0.912124 0 0 0 0 
0.344281 0.923578 0 0 0 0 
0.314181 0.93408 0 0 0 0 
0.283756 0.943619 0 0 0 0 
0.253039 0.952185 0 0 0 0 
0.222061 0.959768 0 0 0 0 
0.190853 0.966361 0 0 0 0 
0.159448 0.971955 0 0 0 0 
0.127879 0.976545 0 0 0 0 
0.0961775 0.980127 0 0 0 0 
0.0643766 0.982696 0 0 0 0 
0.0325093 0.984249 0 0 0 0 
0.000608306 0.984785 0 0 0 0 
-0.0312933 0.984304 0 0 0 0 
-0.0631625 0.982805 0 0 0 0 
-0.0949665 0.980291 0 0 0 0 
-0.126672 0.976764 0 0 0 0 
-0.158247 0.972228 0 0 0 0 
-0.189659 0.966688 0 0 0 0 
-0.220875 0.960151 0 0 0 0 
-0.251863 0.952622 0 0 0 0 
-0.282591 0.94411 0 0 0 0 
-0.313027 0.934625 0 0 0 0 
-0.343142 0.924177 0 0 0 0 
-0.372902 0.912777 0 0 0 0 
-0.402279 0.900437 0 0 0 0 
-0.431241 0.88717 0 0 0 0 
-0.459761 0.872991 0 0 0 0 
-0.487807 0.857915 0 0 0 0 
-0.515353 0.841959 0 0 0 0 
-0.542371 0.825138 0 0 0 0 
-0.568832 0.807472 0 0 0 0 
-0.59471 0.788978 0 0 0 0 
-0.61998 0.769677 0 0 0 0 
-0.644617 0.749589 0 0 0 0 
-0.668594 0.728736 0 0 0 0 
-0.69189 0.707139 0 0 0 0 
-0.71448 0.684821 0 0 0 0 
-0.736343 0.661806 0 0 0 0 
-0.757457 0.638118 0 0 0 0 
-0.777802 0.613782 0 0 0 0 
-0.797357 0.588823 0 0 0 0 
-0.816104 0.563267 0 0 0 0 
-0.834025 0.537141 0 0 0 0 
-0.851103 0.510472 0 0 0 0 
-0.867322 0.483288 0 0 0 0 
-0.882666 0.455616 0 0 0 0 
-0.897121 0.427485 0 0 0 0 
-0.910675 0.398925 0 0 0 0 
-0.923313 0.369964 0 0 0 0 
-0.935026 0.340632 0 0 0 0 
-0.945802 0.310958 0 0 0 0 
-0.955632 0.280974 0 0 0 0 
-0.964508 0.250709 0 0 0 0 
-0.972422 0.220195 0 0 0 0 
-0.979368 0.18946 0 0 0 0 
-0.985339 0.158538 0 0 0 0 
-0.990333 0.127458 0 0 0 0 
-0.994345 0.0962518 0 0 0 0 
-0.997372 0.0649503 0 0 0 0 
-0.999414 0.0335846 0 0 0 0 
-1.00047 0.00218566 0 0 0 0 
-1.00054 -0.0292154 0 0 0 0 
-0.999622 -0.0605877 0 0 0 0 
-0.997725 -0.0919004 0 0 0 0 
-0.994848 -0.123123 0 0 0 0 
