Earthx Earthy Earthz Sunx Suny Sunz 
1 0 0 0 0 0 
1 0.00628319 0 0 0 0 
0.999961 0.0125664 0 0 0 0 
0.999882 0.0188493 0 0 0 0 
0.999763 0.0251317 0 0 0 0 
0.999605 0.0314134 0 0 0 0 
0.999408 0.0376942 0 0 0 0 
0.999171 0.0439736 0 0 0 0 
0.998895 0.0502516 0 0 0 0 
0.998579 0.0565278 0 0 0 0 
0.998224 0.0628021 0 0 0 0 
0.99783 0.0690741 0 0 0 0 
0.997396 0.0753437 0 0 0 0 
0.996922 0.0816105 0 0 0 0 
0.99641 0.0878744 0 0 0 0 
0.995858 0.094135 0 0 0 0 
0.995267 0.100392 0 0 0 0 
0.994636 0.106646 0 0 0 0 
0.993966 0.112895 0 0 0 0 
0.993257 0.11914 0 0 0 0 
0.992509 0.125381 0 0 0 0 
0.991722 0.131617 0 0 0 0 
0.990895 0.137849 0 0 0 0 
0.99003 0.144075 0 0 0 0 
0.989125 0.150295 0 0 0 0 
0.988182 0.15651 0 0 0 0 
0.987199 0.162719 0 0 0 0 
0.986177 0.168922 0 0 0 0 
0.985117 0.175118 0 0 0 0 
0.984017 0.181308 0 0 0 0 
0.982879 0.187491 0 0 0 0 
0.981702 0.193666 0 0 0 0 
0.980486 0.199835 0 0 0 0 
0.979232 0.205995 0 0 0 0 
0.977939 0.212148 0 0 0 0 
0.976607 0.218293 0 0 0 0 
0.975237 0.224429 0 0 0 0 
0.973828 0.230557 0 0 0 0 
0.972381 0.236676 0 0 0 0 
0.970896 0.242785 0 0 0 0 
0.969372 0.248886 0 0 0 0 
0.96781 0.254977 0 0 0 0 
0.96621 0.261058 0 0 0 0 
0.964572 0.267129 0 0 0 0 
0.962895 0.27319 0 0 0 0 
0.961181 0.27924 0 0 0 0 
0.959429 0.28528 0 0 0 0 
0.957639 0.291308 0 0 0 0 
0.955811 0.297325 0 0 0 0 
0.953946 0.303331 0 0 0 0 
0.952042 0.309325 0 0 0 0 
0.950102 0.315307 0 0 0 0 
0.948124 0.321277 0 0 0 0 
0.946108 0.327235 0 0 0 0 
0.944055 0.33318 0 0 0 0 
0.941965 0.339112 0 0 0 0 
0.939838 0.345031 0 0 0 0 
0.937674 0.350937 0 0 0 0 
0.935472 0.356829 0 0 0 0 
0.933234 0.362707 0 0 0 0 
0.930959 0.368571 0 0 0 0 
0.928648 0.374421 0 0 0 0 
0.9263 0.380257 0 0 0 0 
0.923915 0.386077 0 0 0 0 
0.921494 0.391883 0 0 0 0 
0.919036 0.397674 0 0 0 0 
0.916542 0.403449 0 0 0 0 
0.914012 0.409208 0 0 0 0 
0.911447 0.414952 0 0 0 0 
0.908845 0.42068 0 0 0 0 
0.906207 0.426391 0 0 0 0 
