Earthx Earthy Earthz Sunx Suny Sunz 
1 0 0 0 0 0 
0.99998 0.00628319 0 0 0 0 
0.999921 0.0125661 0 0 0 0 
0.999822 0.0188486 0 0 0 0 
0.999684 0.0251303 0 0 0 0 
0.999507 0.031411 0 0 0 0 
0.999289 0.0376904 0 0 0 0 
0.999033 0.0439684 0 0 0 0 
0.998737 0.0502446 0 0 0 0 
0.998402 0.0565189 0 0 0 0 
0.998027 0.0627909 0 0 0 0 
0.997612 0.0690605 0 0 0 0 
0.997159 0.0753273 0 0 0 0 
0.996666 0.0815911 0 0 0 0 
0.996134 0.0878518 0 0 0 0 
0.995562 0.0941089 0 0 0 0 
0.994951 0.100362 0 0 0 0 
0.994301 0.106612 0 0 0 0 
0.993611 0.112857 0 0 0 0 
0.992883 0.119098 0 0 0 0 
0.992115 0.125334 0 0 0 0 
0.991308 0.131565 0 0 0 0 
0.990461 0.137791 0 0 0 0 
0.989576 0.144012 0 0 0 0 
0.988652 0.150227 0 0 0 0 
0.987688 0.156435 0 0 0 0 
0.986686 0.162638 0 0 0 0 
0.985645 0.168835 0 0 0 0 
0.984564 0.175024 0 0 0 0 
0.983445 0.181207 0 0 0 0 
0.982287 0.187383 0 0 0 0 
0.98109 0.193551 0 0 0 0 
0.979855 0.199711 0 0 0 0 
0.978581 0.205864 0 0 0 0 
0.977268 0.212008 0 0 0 0 
0.975917 0.218145 0 0 0 0 
0.974527 0.224272 0 0 0 0 
0.973098 0.230391 0 0 0 0 
0.971632 0.236501 0 0 0 0 
0.970127 0.242601 0 0 0 0 
0.968583 0.248692 0 0 0 0 
0.967001 0.254772 0 0 0 0 
0.965382 0.260843 0 0 0 0 
0.963724 0.266904 0 0 0 0 
0.962028 0.272954 0 0 0 0 
0.960294 0.278993 0 0 0 0 
0.958522 0.285021 0 0 0 0 
0.956712 0.291038 0 0 0 0 
0.954864 0.297044 0 0 0 0 
0.952979 0.303037 0 0 0 0 
0.951056 0.309019 0 0 0 0 
0.949096 0.314989 0 0 0 0 
0.947098 0.320946 0 0 0 0 
0.945063 0.32689 0 0 0 0 
0.94299 0.332822 0 0 0 0 
0.940881 0.33874 0 0 0 0 
0.938734 0.344645 0 0 0 0 
0.93655 0.350537 0 0 0 0 
0.934329 0.356414 0 0 0 0 
0.932071 0.362278 0 0 0 0 
0.929776 0.368127 0 0 0 0 
0.927445 0.373962 0 0 0 0 
0.925077 0.379782 0 0 0 0 
0.922673 0.385587 0 0 0 0 
0.920232 0.391376 0 0 0 0 
0.917754 0.39715 0 0 0 0 
0.915241 0.402909 0 0 0 0 
0.912691 0.408652 0 0 0 0 
0.910106 0.414378 0 0 0 0 
0.907484 0.420088 0 0 0 0 
0.904827 0.425782 0 0 0 0 
0.902134 0.431459 0 0 0 0 
0.899405 0.437119 0 0 0 0 
0.896641 0.442761 0 0 0 0 
0.893841 0.448386 0 0 0 0 
0.891006 0.453993 0 0 0 0 
0.888136 0.459583 0 0 0 0 
0.885231 0.465154 0 0 0 0 
0.882291 0.470707 0 0 0 0 
0.879316 0.476241 0 0 0 0 
0.876306 0.481757 0 0 0 0 
0.873262 0.487253 0 0 0 0 
0.870183 0.492731 0 0 0 0 
0.86707 0.498188 0 0 0 0 
0.863923 0.503626 0 0 0 0 
0.860742 0.509045 0 0 0 0 
0.857526 0.514443 0 0 0 0 
0.854277 0.519821 0 0 0 0 
0.850994 0.525178 0 0 0 0 
0.847678 0.530515 0 0 0 0 
0.844328 0.53583 0 0 0 0 
0.840944 0.541125 0 0 0 0 
0.837528 0.546398 0 0 0 0 
0.834078 0.551649 0 0 0 0 
0.830595 0.556879 0 0 0 0 
0.82708 0.562087 0 0 0 0 
0.823532 0.567273 0 0 0 0 
0.819952 0.572436 0 0 0 0 
0.816339 0.577576 0 0 0 0 
0.812694 0.582694 0 0 0 0 
0.809017 0.587789 0 0 0 0 
0.805307 0.592861 0 0 0 0 
0.801567 0.597909 0 0 0 0 
0.797794 0.602933 0 0 0 0 
0.79399 0.607934 0 0 0 0 
0.790155 0.612911 0 0 0 0 
0.786288 0.617864 0 0 0 0 
0.78239 0.622792 0 0 0 0 
0.778462 0.627695 0 0 0 0 
0.774503 0.632574 0 0 0 0 
0.770513 0.637428 0 0 0 0 
0.766493 0.642257 0 0 0 0 
0.762442 0.64706 0 0 0 0 
0.758361 0.651838 0 0 0 0 
0.754251 0.65659 0 0 0 0 
0.750111 0.661316 0 0 0 0 
0.745941 0.666016 0 0 0 0 
0.741741 0.67069 0 0 0 0 
0.737513 0.675337 0 0 0 0 
0.733255 0.679958 0 0 0 0 
0.728968 0.684552 0 0 0 0 
0.724653 0.689118 0 0 0 0 
0.720309 0.693658 0 0 0 0 
0.715936 0.69817 0 0 0 0 
0.711535 0.702655 0 0 0 0 
0.707106 0.707111 0 0 0 0 
0.702649 0.71154 0 0 0 0 
0.698165 0.715941 0 0 0 0 
0.693653 0.720314 0 0 0 0 
0.689113 0.724658 0 0 0 0 
0.684547 0.728973 0 0 0 0 
0.679953 0.73326 0 0 0 0 
0.675332 0.737518 0 0 0 0 
0.670685 0.741747 0 0 0 0 
0.666011 0.745946 0 0 0 0 
0.661311 0.750116 0 0 0 0 
0.656585 0.754256 0 0 0 0 
0.651833 0.758367 0 0 0 0 
0.647055 0.762448 0 0 0 0 
0.642252 0.766498 0 0 0 0 
0.637423 0.770518 0 0 0 0 
0.63257 0.774508 0 0 0 0 
0.627691 0.778467 0 0 0 0 
0.622787 0.782396 0 0 0 0 
0.617859 0.786294 0 0 0 0 
0.612907 0.79016 0 0 0 0 
0.60793 0.793996 0 0 0 0 
0.602929 0.7978 0 0 0 0 
0.597904 0.801572 0 0 0 0 
0.592856 0.805313 0 0 0 0 
0.587785 0.809022 0 0 0 0 
0.58269 0.8127 0 0 0 0 
0.577572 0.816345 0 0 0 0 
0.572432 0.819958 0 0 0 0 
0.567268 0.823538 0 0 0 0 
0.562083 0.827086 0 0 0 0 
0.556875 0.830601 0 0 0 0 
0.551645 0.834084 0 0 0 0 
0.546394 0.837534 0 0 0 0 
0.541121 0.84095 0 0 0 0 
0.535826 0.844334 0 0 0 0 
0.530511 0.847684 0 0 0 0 
0.525174 0.851 0 0 0 0 
0.519817 0.854283 0 0 0 0 
0.514439 0.857532 0 0 0 0 
0.509041 0.860748 0 0 0 0 
0.503623 0.863929 0 0 0 0 
0.498185 0.867077 0 0 0 0 
0.492727 0.87019 0 0 0 0 
0.48725 0.873268 0 0 0 0 
0.481753 0.876313 0 0 0 0 
0.476238 0.879322 0 0 0 0 
0.470704 0.882297 0 0 0 0 
0.465151 0.885237 0 0 0 0 
0.45958 0.888143 0 0 0 0 
0.45399 0.891013 0 0 0 0 
0.448383 0.893848 0 0 0 0 
0.442758 0.896647 0 0 0 0 
0.437115 0.899412 0 0 0 0 
0.431456 0.90214 0 0 0 0 
0.425779 0.904833 0 0 0 0 
0.420085 0.907491 0 0 0 0 
0.414375 0.910112 0 0 0 0 
0.408649 0.912698 0 0 0 0 
0.402906 0.915248 0 0 0 0 
0.397148 0.917761 0 0 0 0 
0.391373 0.920238 0 0 0 0 
0.385584 0.922679 0 0 0 0 
0.379779 0.925084 0 0 0 0 
0.373959 0.927452 0 0 0 0 
0.368124 0.929783 0 0 0 0 
0.362275 0.932078 0 0 0 0 
0.356412 0.934336 0 0 0 0 
0.350534 0.936557 0 0 0 0 
0.344643 0.938741 0 0 0 0 
0.338738 0.940888 0 0 0 0 
0.332819 0.942998 0 0 0 0 
0.326888 0.94507 0 0 0 0 
0.320944 0.947105 0 0 0 0 
0.314986 0.949103 0 0 0 0 
0.309017 0.951064 0 0 0 0 
0.303035 0.952987 0 0 0 0 
0.297042 0.954872 0 0 0 0 
0.291036 0.956719 0 0 0 0 
0.285019 0.958529 0 0 0 0 
0.278991 0.960301 0 0 0 0 
0.272952 0.962035 0 0 0 0 
0.266902 0.963731 0 0 0 0 
0.260842 0.965389 0 0 0 0 
0.254771 0.967009 0 0 0 0 
0.24869 0.968591 0 0 0 0 
0.242599 0.970134 0 0 0 0 
0.236499 0.971639 0 0 0 0 
0.23039 0.973106 0 0 0 0 
0.224271 0.974535 0 0 0 0 
0.218143 0.975925 0 0 0 0 
0.212007 0.977276 0 0 0 0 
0.205863 0.978589 0 0 0 0 
0.19971 0.979863 0 0 0 0 
0.19355 0.981099 0 0 0 0 
0.187382 0.982295 0 0 0 0 
0.181206 0.983453 0 0 0 0 
0.175023 0.984573 0 0 0 0 
0.168834 0.985653 0 0 0 0 
0.162638 0.986694 0 0 0 0 
0.156435 0.987697 0 0 0 0 
0.150226 0.98866 0 0 0 0 
0.144011 0.989585 0 0 0 0 
0.137791 0.99047 0 0 0 0 
0.131565 0.991316 0 0 0 0 
0.125334 0.992123 0 0 0 0 
0.119098 0.992891 0 0 0 0 
0.112857 0.99362 0 0 0 0 
0.106612 0.99431 0 0 0 0 
0.100362 0.99496 0 0 0 0 
0.0941089 0.995571 0 0 0 0 
0.0878518 0.996143 0 0 0 0 
0.0815913 0.996675 0 0 0 0 
0.0753275 0.997168 0 0 0 0 
0.0690607 0.997622 0 0 0 0 
0.0627912 0.998036 0 0 0 0 
0.0565193 0.998411 0 0 0 0 
0.0502451 0.998746 0 0 0 0 
0.0439689 0.999042 0 0 0 0 
0.037691 0.999299 0 0 0 0 
0.0314116 0.999516 0 0 0 0 
0.0251309 0.999694 0 0 0 0 
0.0188493 0.999832 0 0 0 0 
0.0125669 0.999931 0 0 0 0 
0.00628405 0.99999 0 0 0 0 
9.31628e-07 1.00001 0 0 0 0 
-0.00628219 0.99999 0 0 0 0 
-0.0125651 0.999931 0 0 0 0 
-0.0188474 0.999832 0 0 0 0 
-0.0251291 0.999694 0 0 0 0 
-0.0314097 0.999517 0 0 0 0 
-0.0376891 0.9993 0 0 0 0 
-0.043967 0.999043 0 0 0 0 
-0.0502432 0.998747 0 0 0 0 
-0.0565174 0.998412 0 0 0 0 
-0.0627894 0.998037 0 0 0 0 
-0.0690589 0.997623 0 0 0 0 
-0.0753256 0.99717 0 0 0 0 
-0.0815894 0.996677 0 0 0 0 
-0.08785 0.996144 0 0 0 0 
-0.0941071 0.995573 0 0 0 0 
-0.10036 0.994962 0 0 0 0 
-0.10661 0.994312 0 0 0 0 
-0.112855 0.993623 0 0 0 0 
-0.119096 0.992894 0 0 0 0 
-0.125332 0.992126 0 0 0 0 
-0.131563 0.991319 0 0 0 0 
-0.137789 0.990473 0 0 0 0 
-0.144009 0.989588 0 0 0 0 
-0.150224 0.988663 0 0 0 0 
-0.156433 0.9877 0 0 0 0 
-0.162636 0.986698 0 0 0 0 
-0.168832 0.985657 0 0 0 0 
-0.175022 0.984576 0 0 0 0 
-0.181204 0.983457 0 0 0 0 
-0.18738 0.982299 0 0 0 0 
-0.193548 0.981103 0 0 0 0 
-0.199708 0.979867 0 0 0 0 
-0.205861 0.978593 0 0 0 0 
-0.212006 0.977281 0 0 0 0 
-0.218142 0.975929 0 0 0 0 
-0.224269 0.97454 0 0 0 0 
-0.230388 0.973111 0 0 0 0 
-0.236497 0.971645 0 0 0 0 
-0.242598 0.97014 0 0 0 0 
-0.248688 0.968596 0 0 0 0 
-0.254769 0.967015 0 0 0 0 
-0.26084 0.965395 0 0 0 0 
